PRED,PRED_cleaned
Output: ยาเตรียมทำความสะอาดฟันและทันตภัณฑ์, ยาเตรียมทำความสะอาดฟันและทันตภัณฑ์
"Output: สารเตรียมกำจัดขี้ผึ้งพื้น [น้ำยาทำความสะอาด]
", สารเตรียมกำจัดขี้ผึ้งพื้น [น้ำยาทำความสะอาด]
Output: ผลิตภัณฑ์เพื่อสุขอนามัยส่วนตัว ทำความสะอาด หรือ แต่งกลิ่น, ผลิตภัณฑ์เพื่อสุขอนามัยส่วนตัว ทำความสะอาด หรือ แต่งกลิ่น
"Output: สารเตรียมเพื่อความเรียบของเนื้อผ้า [สารให้ความแข็งแก่ผ้า]
", สารเตรียมเพื่อความเรียบของเนื้อผ้า [สารให้ความแข็งแก่ผ้า]
Output: ส่วนผสมเพื่อเพิ่มความเงางามให้กับใบพืช, ส่วนผสมเพื่อเพิ่มความเงางามให้กับใบพืช
Output: สารขจัดไขมัน ยกเว้นสารที่ใช้ในการผลิต, สารขจัดไขมัน ยกเว้นสารที่ใช้ในการผลิต
Output: น้ำมันเพื่อการบำรุงรักษาห้องน้ำ, น้ำมันเพื่อการบำรุงรักษาห้องน้ำ
Output: กาวติดขนตาปลอม, กาวติดขนตาปลอม
Output: ผ้าเช็ดชำระเครื่องสำอางที่ซึมด้วยสารเตรียมชนิดต่างๆ, ผ้าเช็ดชำระเครื่องสำอางที่ซึมด้วยสารเตรียมชนิดต่างๆ
"Output: ผ้าเช็ดทำความสะอาดแบบใช้แล้วทิ้ง ชุ่มด้วยโลชั่นบำรุงผิว
", ผ้าเช็ดทำความสะอาดแบบใช้แล้วทิ้ง ชุ่มด้วยโลชั่นบำรุงผิว
"Output: สารเตรียมสำหรับการทำผมดัด
", สารเตรียมสำหรับการทำผมดัด
Output: เครื่องสำอางสำหรับการติดขนตาปลอม, เครื่องสำอางสำหรับการติดขนตาปลอม
Output: หินขัดและขัดเงา, หินขัดและขัดเงา
"Output: กลีบกุหลาบบแห้ง [น้ำหอมและเครื่องปรุงแต่งกลิ่น]
", กลีบกุหลาบบแห้ง [น้ำหอมและเครื่องปรุงแต่งกลิ่น]
"Output: สารฟอกสีเพื่อใช้ในผลิตภัณฑ์เครื่องสำอาง
", สารฟอกสีเพื่อใช้ในผลิตภัณฑ์เครื่องสำอาง
Output: สารทำความสะอาด ยกเว้นสารที่ใช้ในการผลิตและการแพทย์, สารทำความสะอาด ยกเว้นสารที่ใช้ในการผลิตและการแพทย์
,
Output: สติ๊กเกอร์ตกแต่งเล็บ, สติ๊กเกอร์ตกแต่งเล็บ
Output: สเปรย์ดับกลิ่นกายสำหรับผู้คนหรือสัตว์เลี้ยง, สเปรย์ดับกลิ่นกายสำหรับผู้คนหรือสัตว์เลี้ยง
Output: เจลนวดเพื่อวัตถุประสงค์ที่ไม่ใช่ทางการแพทย์, เจลนวดเพื่อวัตถุประสงค์ที่ไม่ใช่ทางการแพทย์
Output: น้ำสำหรับดับปาก ไม่ใช่เพื่อการแพทย์, น้ำสำหรับดับปาก ไม่ใช่เพื่อการแพทย์
Output: ครีมนวดผม ยกเว้นผลิตภัณฑ์เพื่อการแพทย์, ครีมนวดผม ยกเว้นผลิตภัณฑ์เพื่อการแพทย์
Output: สารแต่งกลิ่นรสสำหรับเครื่องดื่ม [น้ำมันหอมระเหย], สารแต่งกลิ่นรสสำหรับเครื่องดื่ม [น้ำมันหอมระเหย]
Output: สารหดรั้งผิวเพื่อใช้ในเครื่องสำอาง, สารหดรั้งผิวเพื่อใช้ในเครื่องสำอาง
Output: ครีมทำความสะอาด ไม่ใช่เพื่อการแพทย์, ครีมทำความสะอาด ไม่ใช่เพื่อการแพทย์
"Output: ผลิตภัณฑ์ทำความสะอาดรองเท้า, ผลิตภัณฑ์ทำความสะอาดเพื่อใช้ในครัวเรือน"," ผลิตภัณฑ์ทำความสะอาดรองเท้า, ผลิตภัณฑ์ทำความสะอาดเพื่อใช้ในครัวเรือน"
Output: สารทำความสะอาดสำหรับการใช้งานส่วนตัว, สารทำความสะอาดสำหรับการใช้งานส่วนตัว
Output: น้ำสําหรับดับช่องปาก ไม่ใช่เพื่อทางการแพทย์ ขัดเงาฟันและทันตภัณฑ์, น้ำสําหรับดับช่องปาก ไม่ใช่เพื่อทางการแพทย์ ขัดเงาฟันและทันตภัณฑ์
"Output: ครีมบำรุงผิวหน้า (ชนิดไม่ใช้ยา), ครีมบำรุงผิวเนื้อตัว, ยาสีฟันและผลิตภัณฑ์ทำความสะอาดฟันปลอม"," ครีมบำรุงผิวหน้า (ชนิดไม่ใช้ยา), ครีมบำรุงผิวเนื้อตัว, ยาสีฟันและผลิตภัณฑ์ทำความสะอาดฟันปลอม"
"Output: ครีมทำความสะอาดผิวหน้า, ครีมขัดผิว, ครีมอาบน้ำ, ครีมอโรมาเธอราพี, ครีมปรับสีผิว, ครีมลดริ้วรอย, ครีมบำรุงผิว, ครีมบำรุงมือ, ครีมกำจัดขน"," ครีมทำความสะอาดผิวหน้า, ครีมขัดผิว, ครีมอาบน้ำ, ครีมอโรมาเธอราพี, ครีมปรับสีผิว, ครีมลดริ้วรอย, ครีมบำรุงผิว, ครีมบำรุงมือ, ครีมกำจัดขน"
,
Output: ผ้าเช็ดมือที่ผ่านการแช่และเคลือบด้วยโลชั่นบำรุงผิวแล้ว, ผ้าเช็ดมือที่ผ่านการแช่และเคลือบด้วยโลชั่นบำรุงผิวแล้ว
" 
## Translated Output:
ผลิตภัณฑ์เพื่อขจัดเครื่องสำอางและเมคอัพ, เครื่องสำอางในรูปของอายแชโดว์, สเปรย์กากเพชรสำหรับใช้ในเครื่องสำอาง","   ผลิตภัณฑ์เพื่อขจัดเครื่องสำอางและเมคอัพ, เครื่องสำอางในรูปของอายแชโดว์, สเปรย์กากเพชรสำหรับใช้ในเครื่องสำอาง"
Output: เครื่องสำอางสำหรับการใช้ในการรักษาผิวรอยเหี่ยวย่น, เครื่องสำอางสำหรับการใช้ในการรักษาผิวรอยเหี่ยวย่น
Output: เครื่องสำอางชนิดลงรักปิดทอง, เครื่องสำอางชนิดลงรักปิดทอง
Output: สารทำปฏิกิริยาสำหรับการวิเคราะห์ทางชีวเคมีในการวิจัยทางวิทยาศาสตร์, สารทำปฏิกิริยาสำหรับการวิเคราะห์ทางชีวเคมีในการวิจัยทางวิทยาศาสตร์
,
Output: เครื่องมือห้องปฏิบัติการเพื่อการวิจัยทางวิทยาศาสตร์ โดยเฉพาะตัวตรวจจับแสงสำหรับการถอดรหัสพันธุกรรมและการวิเคราะห์ชีวเคมี, เครื่องมือห้องปฏิบัติการเพื่อการวิจัยทางวิทยาศาสตร์ โดยเฉพาะตัวตรวจจับแสงสำหรับการถอดรหัสพันธุกรรมและการวิเคราะห์ชีวเคมี
,
,
Output: การจัดการและดำเนินงานออกงานแสดงสินค้า งานอีเวนต์ และนิทรรศการเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา, การจัดการและดำเนินงานออกงานแสดงสินค้า งานอีเวนต์ และนิทรรศการเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา
Output: การจัดการและดำเนินกิจกรรมส่งเสริมการขายและการโฆษณา, การจัดการและดำเนินกิจกรรมส่งเสริมการขายและการโฆษณา
Output: บริการจัดซื้อจัดจ้างค้ าให้ผู้อื่น (การจัดซื้อสินค้าและบริการสำหรับธุรกิจอื่น ๆ ), บริการจัดซื้อจัดจ้างค้ าให้ผู้อื่น (การจัดซื้อสินค้าและบริการสำหรับธุรกิจอื่น ๆ )
Output: บริการให้คำปรึกษาด้านการจัดการทรัพยากรบุคคล, บริการให้คำปรึกษาด้านการจัดการทรัพยากรบุคคล
,
,
,
Output: การจัดการ ส่งเสริม และดำเนินการกิจกรรม งานประชุมและงานแสดงสินค้าเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา, การจัดการ ส่งเสริม และดำเนินการกิจกรรม งานประชุมและงานแสดงสินค้าเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา
Output: เตียงตรวจผู้ป่วยทางการแพทย์โดยเฉพาะ, เตียงตรวจผู้ป่วยทางการแพทย์โดยเฉพาะ
Output: เตียงตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม, เตียงตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม
Output: เก้าอี้ตรวจผู้ป่วยโดยเฉพาะสำหรับการใช้งานทางการแพทย์, เก้าอี้ตรวจผู้ป่วยโดยเฉพาะสำหรับการใช้งานทางการแพทย์
Output: เก้าอี้ตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม, เก้าอี้ตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม
Output: ที่นอนปรับอากาศลดการสูญเสียความชื้นแบบแยกส่วนเพื่อใช้ในการบำบัดรักษา, ที่นอนปรับอากาศลดการสูญเสียความชื้นแบบแยกส่วนเพื่อใช้ในการบำบัดรักษา
Output: ฐานเตียงน้ำ [ปรับปรุงเพื่อการใช้งานทางการแพทย์], ฐานเตียงน้ำ [ปรับปรุงเพื่อการใช้งานทางการแพทย์]
Output: เตียงไฮโดรสตัติกแบบมีน้ำเพื่อวัตถุประสงค์ทางการแพทย์, เตียงไฮโดรสตัติกแบบมีน้ำเพื่อวัตถุประสงค์ทางการแพทย์
Output: หมอนน้ำเพื่อวัตถุประสงค์ทางการแพทย์, หมอนน้ำเพื่อวัตถุประสงค์ทางการแพทย์
Output: ที่นอนสลับแรงดันสำหรับการแพทย์, ที่นอนสลับแรงดันสำหรับการแพทย์
Output: เตียงให้ความร้อนสำหรับการรักษาทางการแพทย์, เตียงให้ความร้อนสำหรับการรักษาทางการแพทย์
Output: หมอนรองรับกระดูกสันหลังส่วนคอเพื่อการแพทย์, หมอนรองรับกระดูกสันหลังส่วนคอเพื่อการแพทย์
"Output: แผ่นกั้นป้องกันเพื่อการปกป้องขณะสัมผัสกับรังสีเอ็กซ์ [ใช้ทางการแพทย์]
", แผ่นกั้นป้องกันเพื่อการปกป้องขณะสัมผัสกับรังสีเอ็กซ์ [ใช้ทางการแพทย์]
Output: โครงสร้างป้องกันรังสี [สำหรับการแพทย์], โครงสร้างป้องกันรังสี [สำหรับการแพทย์]
Output: เก้าอี้พักผ่อนที่ทำขึ้นเป็นพิเศษเพื่อวัตถุประสงค์ทางการศัลยกรรม, เก้าอี้พักผ่อนที่ทำขึ้นเป็นพิเศษเพื่อวัตถุประสงค์ทางการศัลยกรรม
Output: เก้าอี้พักผ่อนโดยเฉพาะทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์, เก้าอี้พักผ่อนโดยเฉพาะทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์
Output: เก้าอี้พักผ่อนโดยเฉพาะสำหรับการใช้งานด้านทันตกรรม, เก้าอี้พักผ่อนโดยเฉพาะสำหรับการใช้งานด้านทันตกรรม
"Output: เตียงที่ทำขึ้นเป็นพิเศษสำหรับการใช้งานโดยผู้ป่วยไฟไหม้
", เตียงที่ทำขึ้นเป็นพิเศษสำหรับการใช้งานโดยผู้ป่วยไฟไหม้
Output: เตียงชนิดพิเศษทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์, เตียงชนิดพิเศษทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์
Output: เฟอร์นิเจอร์โดยเฉพาะทำขึ้นเพื่อการใช้งานด้านศัลยกรรม, เฟอร์นิเจอร์โดยเฉพาะทำขึ้นเพื่อการใช้งานด้านศัลยกรรม
Output: เฟอร์นิเจอร์โดยเฉพาะสำหรับการใช้งานด้านทันตกรรม, เฟอร์นิเจอร์โดยเฉพาะสำหรับการใช้งานด้านทันตกรรม
Output: เก้าอี้โดยเฉพาะสำหรับการใช้งานทางการแพทย์, เก้าอี้โดยเฉพาะสำหรับการใช้งานทางการแพทย์
Output: รถเข็นพยาบาลที่ปรับให้เหมาะสมเพื่อบรรจุเวชภัณฑ์สำหรับการจ่ายให้กับผู้ป่วย, รถเข็นพยาบาลที่ปรับให้เหมาะสมเพื่อบรรจุเวชภัณฑ์สำหรับการจ่ายให้กับผู้ป่วย
Output: แผ่นปลอดเชื้อสำหรับใช้กับผู้ป่วยระหว่างการผ่าตัด, แผ่นปลอดเชื้อสำหรับใช้กับผู้ป่วยระหว่างการผ่าตัด
Output: ที่นอนรองเพื่อป้องกันแผลกดทับ, ที่นอนรองเพื่อป้องกันแผลกดทับ
Output: โต๊ะสำหรับใช้ในการรักษาผู้ป่วย, โต๊ะสำหรับใช้ในการรักษาผู้ป่วย
Output: โต๊ะทำพิเศษสำหรับการตรวจการแพทย์, โต๊ะทำพิเศษสำหรับการตรวจการแพทย์
Output: แผ่นยางสำหรับภาวะกลั้นปัสสาวะไม่ได้, แผ่นยางสำหรับภาวะกลั้นปัสสาวะไม่ได้
Output: ที่นอนสำหรับรถเข็นผู้ป่วยในโรงพยาบาล, ที่นอนสำหรับรถเข็นผู้ป่วยในโรงพยาบาล
Output: เฟอร์นิเจอร์ที่ปรับให้เหมาะสมสำหรับการรักษาทางการแพทย์, เฟอร์นิเจอร์ที่ปรับให้เหมาะสมสำหรับการรักษาทางการแพทย์
Output: ผ้าห่มทางการแพทย์เพื่อลดอุณหภูมิผู้ป่วย, ผ้าห่มทางการแพทย์เพื่อลดอุณหภูมิผู้ป่วย
Output: ผ้าห่มทางการแพทย์เพื่อเพิ่มอุณหภูมิร่างกายผู้ป่วย, ผ้าห่มทางการแพทย์เพื่อเพิ่มอุณหภูมิร่างกายผู้ป่วย
Output: เฟอร์นิเจอร์เพื่อวัตถุประสงค์การตรวจส่องกล้องภายในร่างกาย, เฟอร์นิเจอร์เพื่อวัตถุประสงค์การตรวจส่องกล้องภายในร่างกาย
"Output: เปลผู้ป่วยชนิดเป็นเปลหาม
", เปลผู้ป่วยชนิดเป็นเปลหาม
"Output: เข็มขัดยึดผู้ป่วยบนเตียงนอนเคลื่อนย้าย
", เข็มขัดยึดผู้ป่วยบนเตียงนอนเคลื่อนย้าย
"Output: หมอนอิงรูปทรงโค้งมนสำหรับผู้ป่วยใช้บนเตียง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์]
", หมอนอิงรูปทรงโค้งมนสำหรับผู้ป่วยใช้บนเตียง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์]
"Output: สายรัดสำหรับยกผู้ป่วยด้วยเครื่องยกรถเข็นวีลแชร์
", สายรัดสำหรับยกผู้ป่วยด้วยเครื่องยกรถเข็นวีลแชร์
"Output: แผ่นรองสำหรับเด็กทารกเพื่อบรรเทาภาวะปัสสาวะเล็ด
", แผ่นรองสำหรับเด็กทารกเพื่อบรรเทาภาวะปัสสาวะเล็ด
"Output: แผ่นรองสำหรับเด็กทารกเพื่อบรรเทาภาวะปัสสาวะเล็ด
", แผ่นรองสำหรับเด็กทารกเพื่อบรรเทาภาวะปัสสาวะเล็ด
,
Output: หมอนรองรับทารกขณะอาบน้ำเพื่อการแพทย์, หมอนรองรับทารกขณะอาบน้ำเพื่อการแพทย์
Output: หมอนรองรับการแพทย์สำหรับการรองรับทารกที่กำลังถูกตรวจร่างกาย, หมอนรองรับการแพทย์สำหรับการรองรับทารกที่กำลังถูกตรวจร่างกาย
Output: หมอนรองรับศีรษะสำหรับการแพทย์, หมอนรองรับศีรษะสำหรับการแพทย์
Output: หมอนบรรจุขนนุ่ม, หมอนบรรจุขนนุ่ม
Output: ที่นอนรองรับเพื่อการแพทย์, ที่นอนรองรับเพื่อการแพทย์
"Output: แผ่นปูเตียงผู้ป่วย
", แผ่นปูเตียงผู้ป่วย
Output: หมอนลมสำหรับทารก [เพื่อการแพทย์], หมอนลมสำหรับทารก [เพื่อการแพทย์]
Output: ที่นอนลมสำหรับทารก [เพื่อวัตถุประสงค์ทางการแพทย์], ที่นอนลมสำหรับทารก [เพื่อวัตถุประสงค์ทางการแพทย์]
Output: เสาช่วยในการยกผู้ป่วย, เสาช่วยในการยกผู้ป่วย
Output: ผ้าปูที่ติดกาวสำหรับการใช้งานผ่าตัด, ผ้าปูที่ติดกาวสำหรับการใช้งานผ่าตัด
Output: หมอนอิงเพื่อวัตถุประสงค์ทางการแพทย์, หมอนอิงเพื่อวัตถุประสงค์ทางการแพทย์
Output: แผ่นรองเสริมรูปทรงแบบเป่าลมสำหรับผู้ป่วย, แผ่นรองเสริมรูปทรงแบบเป่าลมสำหรับผู้ป่วย
Output: หมอนอิงรูปทรงโค้งมนสำหรับผู้ป่วยใช้บนเก้าอี้นั่ง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์], หมอนอิงรูปทรงโค้งมนสำหรับผู้ป่วยใช้บนเก้าอี้นั่ง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์]
Output: ผ้าห่มไฟฟ้าเพื่อการแพทย์, ผ้าห่มไฟฟ้าเพื่อการแพทย์
Output: แผ่นรองและหมอนบรรเทาแรงกดดัน, แผ่นรองและหมอนบรรเทาแรงกดดัน
Output: ทะเบียนเตียงสำหรับเตียงโดยเฉพาะทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์, ทะเบียนเตียงสำหรับเตียงโดยเฉพาะทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์
Output: อ่างอาบน้ำ (ลิฟต์ช่วยให้ผู้ป่วยเข้าอ่างได้), อ่างอาบน้ำ (ลิฟต์ช่วยให้ผู้ป่วยเข้าอ่างได้)
Output: อ่างอาบน้ำ (ลิฟต์ช่วยผู้ป่วยออกจาก-), อ่างอาบน้ำ (ลิฟต์ช่วยผู้ป่วยออกจาก)
"Output: ที่นอนเป่าลมเพื่อวัตถุประสงค์ทางการแพทย์กระดูกและข้อ
", ที่นอนเป่าลมเพื่อวัตถุประสงค์ทางการแพทย์กระดูกและข้อ
,
Output: อุปกรณ์รองรับการใช้งานทางการแพทย์, อุปกรณ์รองรับการใช้งานทางการแพทย์
Output: เครื่องยกผู้ป่วยขึ้นบันไดเพื่อการรักษาทางการแพทย์, เครื่องยกผู้ป่วยขึ้นบันไดเพื่อการรักษาทางการแพทย์
Output: เครื่องออกกำลังกายเพื่อวัตถุประสงค์ในการบำบัดรักษา, เครื่องออกกำลังกายเพื่อวัตถุประสงค์ในการบำบัดรักษา
Output: เครื่องดูดเสมหะชนิดอัลตราซาวนด์สำหรับการแยกชิ้นเนื้อเยื่ออ่อน, เครื่องดูดเสมหะชนิดอัลตราซาวนด์สำหรับการแยกชิ้นเนื้อเยื่ออ่อน
Output: ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดกล้ามเนื้อ, ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดกล้ามเนื้อ
Output: ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดหู, ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดหู
Output: โคมไฟความร้อนสำหรับการแพทย์, โคมไฟความร้อนสำหรับการแพทย์
Output: อุปกรณ์ออกกำลังกายแบบขยาย สำหรับการบำบัดทางการแพทย์, อุปกรณ์ออกกำลังกายแบบขยาย สำหรับการบำบัดทางการแพทย์
Output: อุปกรณ์ออกกำลังกายเพื่อวัตถุประสงค์ในการฟื้นฟูสมรรถภาพทางการแพทย์, อุปกรณ์ออกกำลังกายเพื่อวัตถุประสงค์ในการฟื้นฟูสมรรถภาพทางการแพทย์
Output: อุปกรณ์บริหารมือเพื่อการบำบัดรักษา, อุปกรณ์บริหารมือเพื่อการบำบัดรักษา
Output: หมอนอุ่น [แผ่นรอง] แบบไม่ใช้พลังงาน สำหรับการแพทย์, หมอนอุ่น [แผ่นรอง] แบบไม่ใช้พลังงาน สำหรับการแพทย์
Output: หมอนอุ่นไฟฟ้าเพื่อวัตถุประสงค์ทางการแพทย์, หมอนอุ่นไฟฟ้าเพื่อวัตถุประสงค์ทางการแพทย์
Output: หน่วยแผ่รังสีอินฟราเรดเพื่อวัตถุประสงค์ในการบำบัดรักษา, หน่วยแผ่รังสีอินฟราเรดเพื่อวัตถุประสงค์ในการบำบัดรักษา
Output: เครื่องออกกำลังกายแบบสายพานสำหรับการบำบัดทางกายภาพในทางการแพทย์, เครื่องออกกำลังกายแบบสายพานสำหรับการบำบัดทางกายภาพในทางการแพทย์
Output: เครื่องมือแพทย์เพื่อเสริมสร้างกล้ามเนื้ออุ้งเชิงกราน, เครื่องมือแพทย์เพื่อเสริมสร้างกล้ามเนื้ออุ้งเชิงกราน
Output: อุปกรณ์ออกกำลังกายเพื่อการฝึกฝนร่างกาย [เพื่อวัตถุประสงค์ทางการแพทย์], อุปกรณ์ออกกำลังกายเพื่อการฝึกฝนร่างกาย [เพื่อวัตถุประสงค์ทางการแพทย์]
"Output: ชุดหลอดไฟอาร์คปรอทเพื่อวัตถุประสงค์ในการรักษา
", ชุดหลอดไฟอาร์คปรอทเพื่อวัตถุประสงค์ในการรักษา
Output: อุปกรณ์กระตุ้นด้วยไฟฟ้าสำหรับการใช้ในการรักษาทางบำบัด, อุปกรณ์กระตุ้นด้วยไฟฟ้าสำหรับการใช้ในการรักษาทางบำบัด
Output: เครื่องฝึกความแข็งแรงด้วยการพายเรือ [สำหรับการใช้งานทางการแพทย์], เครื่องฝึกความแข็งแรงด้วยการพายเรือ [สำหรับการใช้งานทางการแพทย์]
"Output: เครื่องยกสำหรับใช้ในการกายภาพบำบัด
", เครื่องยกสำหรับใช้ในการกายภาพบำบัด
"Output: เครื่องกระตุ้นไฟฟ้าเพื่อการรักษาลดน้ำหนัก
", เครื่องกระตุ้นไฟฟ้าเพื่อการรักษาลดน้ำหนัก
Output: อุปกรณ์ช่วยในการหายใจเพื่อป้องกันอาการนอนกรน, อุปกรณ์ช่วยในการหายใจเพื่อป้องกันอาการนอนกรน
Output: คลิปหนีบจมูกเพื่อการรักษา ป้องกันอาการนอนกรน, คลิปหนีบจมูกเพื่อการรักษา ป้องกันอาการนอนกรน
Output: อุปกรณ์บำบัดรักษาสำหรับเด็กออทิสติก, อุปกรณ์บำบัดรักษาสำหรับเด็กออทิสติก
Output: อุปกรณ์จำลองการออกกำลังกายเพื่อวัตถุประสงค์ทางการแพทย์, อุปกรณ์จำลองการออกกำลังกายเพื่อวัตถุประสงค์ทางการแพทย์
,
Output: อุปกรณ์สำหรับการบำบัดกระตุ้นร่างกายให้แข็งแรง, อุปกรณ์สำหรับการบำบัดกระตุ้นร่างกายให้แข็งแรง
"Output: อุปกรณ์ล้างเพื่อวัตถุประสงค์ในการรักษา
", อุปกรณ์ล้างเพื่อวัตถุประสงค์ในการรักษา
Output: อุปกรณ์สำหรับการใช้ในการออกกำลังกายกล้ามเนื้อเพื่อการแพทย์, อุปกรณ์สำหรับการใช้ในการออกกำลังกายกล้ามเนื้อเพื่อการแพทย์
Output: อุปกรณ์สำหรับการใช้ในการกระตุ้นกล้ามเนื้อเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์, อุปกรณ์สำหรับการใช้ในการกระตุ้นกล้ามเนื้อเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์
Output: อุปกรณ์สำหรับการกระตุ้นกล้ามเนื้อเพื่อการบำบัดรักษา, อุปกรณ์สำหรับการกระตุ้นกล้ามเนื้อเพื่อการบำบัดรักษา
Output: อุปกรณ์กระตุ้นไฟฟ้ารวมกลุ่มกล้ามเนื้อ, อุปกรณ์กระตุ้นไฟฟ้ารวมกลุ่มกล้ามเนื้อ
Output: อุปกรณ์เพื่อการกระตุ้นกล้ามเนื้อบำบัด, อุปกรณ์เพื่อการกระตุ้นกล้ามเนื้อบำบัด
Output: ไม้บรรทดัดไม่สมมาตรสำหรับการออกกำลังกาย [ปรับปรุงเพื่อการใช้งานทางการแพทย์], ไม้บรรทดัดไม่สมมาตรสำหรับการออกกำลังกาย [ปรับปรุงเพื่อการใช้งานทางการแพทย์]
Output: ไม้กายบริหารแบบคู่ สำหรับการใช้งานด้านการรักษาทางการแพทย์, ไม้กายบริหารแบบคู่ สำหรับการใช้งานด้านการรักษาทางการแพทย์
Output: อุปกรณ์ฝึกที่ควบคุมด้วยคอมพิวเตอร์สำหรับการใช้งานเชิงบำบัด, อุปกรณ์ฝึกที่ควบคุมด้วยคอมพิวเตอร์สำหรับการใช้งานเชิงบำบัด
"Output: อุปกรณ์ออกกำลังกายที่ควบคุมด้วยคอมพิวเตอร์สำหรับการใช้งานเพื่อการรักษา
", อุปกรณ์ออกกำลังกายที่ควบคุมด้วยคอมพิวเตอร์สำหรับการใช้งานเพื่อการรักษา
