PRED,PRED_cleaned
Output: สารทำความสะอาดตะกรันเพื่อใช้ในครัวเรือน, สารทำความสะอาดตะกรันเพื่อใช้ในครัวเรือน
Output: ยาเตรียมทำความสะอาดฟันและทันตภัณฑ์, ยาเตรียมทำความสะอาดฟันและทันตภัณฑ์
"Output: สารขจัดเคลือบเงาพื้น [น้ำยาทำความสะอาด]
", สารขจัดเคลือบเงาพื้น [น้ำยาทำความสะอาด]
Output: ผลิตภัณฑ์เพื่อสุขอนามัยส่วนตัว ทำความสะอาด หรือแต่งกลิ่นรส, ผลิตภัณฑ์เพื่อสุขอนามัยส่วนตัว ทำความสะอาด หรือแต่งกลิ่นรส
Output: สารเตรียมเพื่อความเรียบของรอยพับ [สารให้ความแข็งแก่ผ้า], สารเตรียมเพื่อความเรียบของรอยพับ [สารให้ความแข็งแก่ผ้า]
Output: ส่วนผสมเพื่อเพิ่มความเงางามให้กับใบพืช, ส่วนผสมเพื่อเพิ่มความเงางามให้กับใบพืช
"Output: สารขจัดไขมัน ยกเว้นสารที่ใช้ในการผลิต
", สารขจัดไขมัน ยกเว้นสารที่ใช้ในการผลิต
Output: น้ำมันสำหรับการบำรุงรักษาห้องน้ำ, น้ำมันสำหรับการบำรุงรักษาห้องน้ำ
Output: กาวติดขนตาปลอม, กาวติดขนตาปลอม
"Output: ผ้าเช็ดชำระเครื่องสำอางที่ซึมด้วยสารเตรียม
", ผ้าเช็ดชำระเครื่องสำอางที่ซึมด้วยสารเตรียม
"Output: ผ้าเช็ดทำความสะอาดแบบใช้แล้วทิ้ง ชุ่มด้วยโลชั่นบำรุงผิว
", ผ้าเช็ดทำความสะอาดแบบใช้แล้วทิ้ง ชุ่มด้วยโลชั่นบำรุงผิว
"Output: สารเตรียมสำหรับการทำผมดัด
", สารเตรียมสำหรับการทำผมดัด
Output: เครื่องสำอางสำหรับการติดขนตาปลอม, เครื่องสำอางสำหรับการติดขนตาปลอม
Output: หินขัดและถูเงา, หินขัดและถูเงา
Output: กลีบกุหลาบบแห้ง [น้ำหอมและเครื่องปรุงทําน้ำหอม], กลีบกุหลาบบแห้ง [น้ำหอมและเครื่องปรุงทําน้ำหอม]
"Output: สารฟอกสีเพื่อใช้ในเครื่องสำอาง
", สารฟอกสีเพื่อใช้ในเครื่องสำอาง
Output: สบู่ดูดสิ่งสกปรก ยกเว้นสบู่ที่ใช้ในการผลิตและการแพทย์, สบู่ดูดสิ่งสกปรก ยกเว้นสบู่ที่ใช้ในการผลิตและการแพทย์
Output: สติ๊กเกอร์ตกแต่งเพื่อใช้ในด้านเครื่องสำอางค์, สติ๊กเกอร์ตกแต่งเพื่อใช้ในด้านเครื่องสำอางค์
Output: สติ๊กเกอร์ตกแต่งเล็บ, สติ๊กเกอร์ตกแต่งเล็บ
Output: สเปรย์ดับกลิ่นกายสำหรับผู้คนหรือสัตว์เลี้ยง, สเปรย์ดับกลิ่นกายสำหรับผู้คนหรือสัตว์เลี้ยง
Output: เจลนวดเพื่อวัตถุประสงค์ที่ไม่ใช่ทางการแพทย์, เจลนวดเพื่อวัตถุประสงค์ที่ไม่ใช่ทางการแพทย์
Output: น้ำสำหรับดับปาก ไม่ใช่เพื่อทางการแพทย์, น้ำสำหรับดับปาก ไม่ใช่เพื่อทางการแพทย์
Output: ครีมนวดผม ยกเว้นผลิตภัณฑ์เพื่อการแพทย์, ครีมนวดผม ยกเว้นผลิตภัณฑ์เพื่อการแพทย์
"Output: สารแต่งกลิ่นรสสำหรับเครื่องดื่ม [น้ำมันหอมระเหย]
", สารแต่งกลิ่นรสสำหรับเครื่องดื่ม [น้ำมันหอมระเหย]
Output: สารหดรั้งผิวเพื่อใช้ในเครื่องสำอาง, สารหดรั้งผิวเพื่อใช้ในเครื่องสำอาง
Output: ครีมทำความสะอาด ไม่ใช่เพื่อการแพทย์, ครีมทำความสะอาด ไม่ใช่เพื่อการแพทย์
"Output: ผลิตภัณฑ์ทำความสะอาดรองเท้า, ผลิตภัณฑ์ทำความสะอาดเพื่อใช้ในครัวเรือน"," ผลิตภัณฑ์ทำความสะอาดรองเท้า, ผลิตภัณฑ์ทำความสะอาดเพื่อใช้ในครัวเรือน"
Output: สารทำความสะอาดสำหรับการใช้งานส่วนตัว, สารทำความสะอาดสำหรับการใช้งานส่วนตัว
Output: น้ำสําหรับดับช่องปาก ไม่ใช่เพื่อทางการแพทย์ ทำความสะอาดและขัดเงาฟันและทันตภัณฑ์, น้ำสําหรับดับช่องปาก ไม่ใช่เพื่อทางการแพทย์ ทำความสะอาดและขัดเงาฟันและทันตภัณฑ์
"Output: ครีมบำรุงผิวหน้า (ชนิดไม่เป็นยา), ครีมบำรุงผิวเนื้อตัวเพื่อความงาม, ยาสีฟันและผลิตภัณฑ์ทำความสะอาดฟันปลอม"," ครีมบำรุงผิวหน้า (ชนิดไม่เป็นยา), ครีมบำรุงผิวเนื้อตัวเพื่อความงาม, ยาสีฟันและผลิตภัณฑ์ทำความสะอาดฟันปลอม"
"ผลิตภัณฑ์ทำความสะอาดผิวหน้า ครีมขัดผิว ครีมอาบน้ำ ครีมอโรมาเธอราพี ครีมทาน้ำมัน ครีมลดริ้วรอย ครีมบำรุงผิว ครีมทามือ ครีมกำจัดขน
",ผลิตภัณฑ์ทำความสะอาดผิวหน้า ครีมขัดผิว ครีมอาบน้ำ ครีมอโรมาเธอราพี ครีมทาน้ำมัน ครีมลดริ้วรอย ครีมบำรุงผิว ครีมทามือ ครีมกำจัดขน
,
Output: ผ้าเช็ดมือแบบเปียกอัดแน่นซึ่งมีสารบำรุงผิวผสมอยู่, ผ้าเช็ดมือแบบเปียกอัดแน่นซึ่งมีสารบำรุงผิวผสมอยู่
" 
## Output:
ผลิตภัณฑ์เพื่อเช็ดเครื่องสำอางและเมคอัพ เครื่องสำอางในรูปแบบอายแชโดว์ สเปรย์กากเพชรสำหรับใช้ในเครื่องสำอาง",  ผลิตภัณฑ์เพื่อเช็ดเครื่องสำอางและเมคอัพ เครื่องสำอางในรูปแบบอายแชโดว์ สเปรย์กากเพชรสำหรับใช้ในเครื่องสำอาง
Output: เครื่องสำอางสำหรับการบำบัดรอยเหี่ยวย่น, เครื่องสำอางสำหรับการบำบัดรอยเหี่ยวย่น
Output: เครื่องสำอางชนิดลงสีแดงแก้ม, เครื่องสำอางชนิดลงสีแดงแก้ม
Output: สารทำปฏิกิริยาสำหรับการวิเคราะห์ทางชีวเคมีในการวิจัยทางวิทยาศาสตร์, สารทำปฏิกิริยาสำหรับการวิเคราะห์ทางชีวเคมีในการวิจัยทางวิทยาศาสตร์
Output: สารรีเอเจนต์สำหรับการใช้ในการวิเคราะห์ทางชีวเคมีเพื่อการวินิจฉัยทางการแพทย์, สารรีเอเจนต์สำหรับการใช้ในการวิเคราะห์ทางชีวเคมีเพื่อการวินิจฉัยทางการแพทย์
Output: เครื่องมือห้องปฏิบัติการเพื่อการวิจัยทางวิทยาศาสตร์ โดยเฉพาะตัวตรวจจับแสงสำหรับการถอดรหัสพันธุกรรมและการวิเคราะห์ชีวเคมี, เครื่องมือห้องปฏิบัติการเพื่อการวิจัยทางวิทยาศาสตร์ โดยเฉพาะตัวตรวจจับแสงสำหรับการถอดรหัสพันธุกรรมและการวิเคราะห์ชีวเคมี
Output: เครื่องมือห้องปฏิบัติการเพื่อวัตถุประสงค์ทางการวินิจฉัยทางการแพทย์ โดยเฉพาะอย่างยิ่ง ตัวตรวจจับแสงสำหรับการหาลำดับพันธุกรรมและการวิเคราะห์ทางชีวเคมี, เครื่องมือห้องปฏิบัติการเพื่อวัตถุประสงค์ทางการวินิจฉัยทางการแพทย์ โดยเฉพาะอย่างยิ่ง ตัวตรวจจับแสงสำหรับการหาลำดับพันธุกรรมและการวิเคราะห์ทางชีวเคมี
,
Output: การจัดการและดำเนินงานออกงานแสดงสินค้า งานอีเวนต์ และนิทรรศการเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา, การจัดการและดำเนินงานออกงานแสดงสินค้า งานอีเวนต์ และนิทรรศการเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา
"Output: การจัดการและดำเนินกิจกรรมส่งเสริมการขายและการโฆษณา
", การจัดการและดำเนินกิจกรรมส่งเสริมการขายและการโฆษณา
Output: บริการจัดซื้อจัดจ้างสำหรับผู้อื่น (การจัดซื้อสินค้าและบริการให้แก่ธุรกิจอื่น), บริการจัดซื้อจัดจ้างสำหรับผู้อื่น (การจัดซื้อสินค้าและบริการให้แก่ธุรกิจอื่น)
Output: บริการให้คำปรึกษาด้านการจัดการทรัพยากรบุคคล, บริการให้คำปรึกษาด้านการจัดการทรัพยากรบุคคล
"Output: บริการจัดวางโชว์สินค้าในร้านค้า
", บริการจัดวางโชว์สินค้าในร้านค้า
Output: การสาธิตสินค้าเพื่อวัตถุประสงค์ส่งเสริมการขายและการโฆษณา, การสาธิตสินค้าเพื่อวัตถุประสงค์ส่งเสริมการขายและการโฆษณา
Output: การจัดการงานแสดงสินค้าเพื่อวัตถุประสงค์ทางการค้า, การจัดการงานแสดงสินค้าเพื่อวัตถุประสงค์ทางการค้า
Output: การจัดการ ส่งเสริม และดำเนินการกิจกรรม งานประชุมและงานแสดงสินค้าเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา, การจัดการ ส่งเสริม และดำเนินการกิจกรรม งานประชุมและงานแสดงสินค้าเพื่อวัตถุประสงค์ทางการค้าและการโฆษณา
Output: เตียงตรวจผู้ป่วยทางการแพทย์โดยเฉพาะ, เตียงตรวจผู้ป่วยทางการแพทย์โดยเฉพาะ
Output: เตียงตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม, เตียงตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม
Output: เก้าอี้ตรวจผู้ป่วยโดยเฉพาะสำหรับการใช้งานทางการแพทย์, เก้าอี้ตรวจผู้ป่วยโดยเฉพาะสำหรับการใช้งานทางการแพทย์
Output: เก้าอี้ตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม, เก้าอี้ตรวจเฉพาะสำหรับการใช้งานทางทันตกรรม
"Output: ที่นอนผายอดลมต่ำแบบแยกส่วนเพื่อการรักษา
", ที่นอนผายอดลมต่ำแบบแยกส่วนเพื่อการรักษา
Output: ฐานเตียงน้ำ [ปรับปรุงสำหรับการใช้งานทางการแพทย์], ฐานเตียงน้ำ [ปรับปรุงสำหรับการใช้งานทางการแพทย์]
Output: เตียงไฮโดรสตาทิกส์ [น้ำ] สำหรับการแพทย์, เตียงไฮโดรสตาทิกส์ [น้ำ] สำหรับการแพทย์
Output: หมอนน้ำเพื่อวัตถุประสงค์ทางการแพทย์, หมอนน้ำเพื่อวัตถุประสงค์ทางการแพทย์
Output: ที่นอนสลับแรงดันสำหรับการแพทย์, ที่นอนสลับแรงดันสำหรับการแพทย์
Output: เตียงให้ความร้อนสำหรับการรักษาทางการแพทย์, เตียงให้ความร้อนสำหรับการรักษาทางการแพทย์
Output: หมอนรองรับกระดูกสันหลังส่วนคอเพื่อการแพทย์, หมอนรองรับกระดูกสันหลังส่วนคอเพื่อการแพทย์
"Output: แผ่นกั้นป้องกันเพื่อการปกป้องขณะสัมผัสกับรังสีเอ็กซ์ [ใช้ทางการแพทย์]
", แผ่นกั้นป้องกันเพื่อการปกป้องขณะสัมผัสกับรังสีเอ็กซ์ [ใช้ทางการแพทย์]
Output: โครงสร้างป้องกันรังสี [สำหรับการแพทย์], โครงสร้างป้องกันรังสี [สำหรับการแพทย์]
Output: เก้าอี้พักผ่อนที่ทำขึ้นเป็นพิเศษเพื่อวัตถุประสงค์ทางการศัลยกรรม, เก้าอี้พักผ่อนที่ทำขึ้นเป็นพิเศษเพื่อวัตถุประสงค์ทางการศัลยกรรม
Output: เก้าอี้พักผ่อนโดยเฉพาะทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์, เก้าอี้พักผ่อนโดยเฉพาะทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์
Output: เก้าอี้พักผ่อนโดยเฉพาะสำหรับการใช้งานด้านทันตกรรม, เก้าอี้พักผ่อนโดยเฉพาะสำหรับการใช้งานด้านทันตกรรม
"Output: เตียงที่ทำขึ้นเป็นพิเศษสำหรับการใช้งานโดยผู้ป่วยไฟไหม้
", เตียงที่ทำขึ้นเป็นพิเศษสำหรับการใช้งานโดยผู้ป่วยไฟไหม้
Output: เตียงชนิดพิเศษทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์, เตียงชนิดพิเศษทำขึ้นเพื่อวัตถุประสงค์ทางการแพทย์
Output: เฟอร์นิเจอร์โดยเฉพาะทำขึ้นเพื่อการใช้งานด้านศัลยกรรม, เฟอร์นิเจอร์โดยเฉพาะทำขึ้นเพื่อการใช้งานด้านศัลยกรรม
Output: เฟอร์นิเจอร์โดยเฉพาะสำหรับการใช้งานด้านทันตกรรม, เฟอร์นิเจอร์โดยเฉพาะสำหรับการใช้งานด้านทันตกรรม
Output: เก้าอี้โดยเฉพาะสำหรับการใช้งานทางการแพทย์, เก้าอี้โดยเฉพาะสำหรับการใช้งานทางการแพทย์
Output: รถเข็นพยาบาลที่ปรับให้เหมาะสมเพื่อบรรจุเวชภัณฑ์สำหรับการจ่ายให้กับผู้ป่วย, รถเข็นพยาบาลที่ปรับให้เหมาะสมเพื่อบรรจุเวชภัณฑ์สำหรับการจ่ายให้กับผู้ป่วย
Output: แผ่นปลอดเชื้อสำหรับใช้กับผู้ป่วยระหว่างการผ่าตัด, แผ่นปลอดเชื้อสำหรับใช้กับผู้ป่วยระหว่างการผ่าตัด
Output: ที่นอนรองเพื่อป้องกันแผลกดทับ, ที่นอนรองเพื่อป้องกันแผลกดทับ
Output: โต๊ะสำหรับใช้ในการรักษาผู้ป่วย, โต๊ะสำหรับใช้ในการรักษาผู้ป่วย
Output: โต๊ะทำพิเศษสำหรับการตรวจการแพทย์, โต๊ะทำพิเศษสำหรับการตรวจการแพทย์
"Output: แผ่นยางสำหรับภาวะกลั้นปัสสาวะไม่ได้
", แผ่นยางสำหรับภาวะกลั้นปัสสาวะไม่ได้
Output: ที่นอนสำหรับรถเข็นผู้ป่วยในโรงพยาบาล, ที่นอนสำหรับรถเข็นผู้ป่วยในโรงพยาบาล
Output: เฟอร์นิเจอร์ที่ปรับให้เหมาะสมสำหรับการรักษาทางการแพทย์, เฟอร์นิเจอร์ที่ปรับให้เหมาะสมสำหรับการรักษาทางการแพทย์
Output: ผ้าห่มทางการแพทย์เพื่อลดอุณหภูมิผู้ป่วย, ผ้าห่มทางการแพทย์เพื่อลดอุณหภูมิผู้ป่วย
Output: ผ้าห่มทางการแพทย์เพื่อเพิ่มอุณหภูมิร่างกายผู้ป่วย, ผ้าห่มทางการแพทย์เพื่อเพิ่มอุณหภูมิร่างกายผู้ป่วย
"Output: เฟอร์นิเจอร์เพื่อวัตถุประสงค์การตรวจส่องกล้องภายในร่างกาย
", เฟอร์นิเจอร์เพื่อวัตถุประสงค์การตรวจส่องกล้องภายในร่างกาย
"Output: เปลผู้ป่วยชนิดเตียงมีที่นอนปรับได้
", เปลผู้ป่วยชนิดเตียงมีที่นอนปรับได้
"Output: เข็มขัดยึดผู้ป่วยบนเตียงนอนคนไข้
", เข็มขัดยึดผู้ป่วยบนเตียงนอนคนไข้
"Output: หมอนอิงรูปทรงโค้งสำหรับผู้ป่วยใช้บนเตียง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์]
", หมอนอิงรูปทรงโค้งสำหรับผู้ป่วยใช้บนเตียง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์]
"Output: สายรัดสำหรับยกผู้ป่วยด้วยเครื่องยกรอก
", สายรัดสำหรับยกผู้ป่วยด้วยเครื่องยกรอก
Output: แผ่นรองสำหรับเด็กทารกที่ใช้กับภาวะกลั้นปัสสาวะไม่ได้, แผ่นรองสำหรับเด็กทารกที่ใช้กับภาวะกลั้นปัสสาวะไม่ได้
Output: แผ่นรองสำหรับเด็กทารกที่ใช้กับภาวะกลั้นปัสสาวะไม่ได้, แผ่นรองสำหรับเด็กทารกที่ใช้กับภาวะกลั้นปัสสาวะไม่ได้
Output: เตียงไฮบริดแบบขอบนุ่ม เตียงน้ำ [สำหรับการแพทย์], เตียงไฮบริดแบบขอบนุ่ม เตียงน้ำ [สำหรับการแพทย์]
Output: หมอนรองรับทารกขณะอาบน้ำเพื่อการแพทย์, หมอนรองรับทารกขณะอาบน้ำเพื่อการแพทย์
Output: หมอนรองรับการแพทย์สำหรับรองรับทารกที่กำลังถูกตรวจร่างกาย, หมอนรองรับการแพทย์สำหรับรองรับทารกที่กำลังถูกตรวจร่างกาย
Output: หมอนรองรับศีรษะสำหรับการแพทย์, หมอนรองรับศีรษะสำหรับการแพทย์
Output: หมอนบรรจุขนนุ่ม, หมอนบรรจุขนนุ่ม
Output: ที่นอนรองรับการใช้งานทางการแพทย์, ที่นอนรองรับการใช้งานทางการแพทย์
"Output: แผ่นปูเตียงผู้ป่วย
", แผ่นปูเตียงผู้ป่วย
Output: หมอนลมสำหรับทารก [เพื่อการแพทย์], หมอนลมสำหรับทารก [เพื่อการแพทย์]
Output: ที่นอนลมสำหรับทารก [เพื่อการแพทย์], ที่นอนลมสำหรับทารก [เพื่อการแพทย์]
Output: เสาช่วยยกผู้ป่วย, เสาช่วยยกผู้ป่วย
Output: ผ้าปูที่ติดกาวสำหรับการผ่าตัด, ผ้าปูที่ติดกาวสำหรับการผ่าตัด
Output: หมอนอิงเพื่อวัตถุประสงค์ทางการแพทย์, หมอนอิงเพื่อวัตถุประสงค์ทางการแพทย์
Output: แผ่นรองเสริมรูปทรงแบบเป่าลมสำหรับผู้ป่วย, แผ่นรองเสริมรูปทรงแบบเป่าลมสำหรับผู้ป่วย
Output: หมอนอิงรูปทรงโค้งสำหรับผู้ป่วยใช้บนเก้าอี้นั่ง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์], หมอนอิงรูปทรงโค้งสำหรับผู้ป่วยใช้บนเก้าอี้นั่ง [ปรับปรุงเพื่อวัตถุประสงค์ทางการแพทย์]
"Output: ผ้าห่มไฟฟ้าเพื่อการแพทย์
", ผ้าห่มไฟฟ้าเพื่อการแพทย์
Output: แผ่นรองและหมอนบรรเทาแรงกดดัน, แผ่นรองและหมอนบรรเทาแรงกดดัน
Output: ทะเบียนโครงเตียง สำหรับเตียงโดยเฉพาะเพื่อวัตถุประสงค์ทางการแพทย์, ทะเบียนโครงเตียง สำหรับเตียงโดยเฉพาะเพื่อวัตถุประสงค์ทางการแพทย์
"Output: อ่างอาบน้ำ (ลิฟต์ช่วยให้ผู้ป่วยเข้าอ่างได้)
", อ่างอาบน้ำ (ลิฟต์ช่วยให้ผู้ป่วยเข้าอ่างได้)
Output: อ่างอาบน้ำ (ลิฟต์ช่วยผู้ป่วยออกจาก-), อ่างอาบน้ำ (ลิฟต์ช่วยผู้ป่วยออกจาก)
"Output: ที่นอนเป่าลมเพื่อวัตถุประสงค์ทางการแพทย์กระดูกและข้อ
", ที่นอนเป่าลมเพื่อวัตถุประสงค์ทางการแพทย์กระดูกและข้อ
Output: อุปกรณ์สำหรับการพลิกตัวผู้ป่วย, อุปกรณ์สำหรับการพลิกตัวผู้ป่วย
Output: อุปกรณ์รองรับการแพทย์สำหรับการใช้งานทางการแพทย์, อุปกรณ์รองรับการแพทย์สำหรับการใช้งานทางการแพทย์
Output: เครื่องยกผู้ป่วยขึ้นบันไดเพื่อการรักษาทางการแพทย์, เครื่องยกผู้ป่วยขึ้นบันไดเพื่อการรักษาทางการแพทย์
"Output: เครื่องออกกำลังกายเพื่อวัตถุประสงค์ในการบำบัดรักษา
", เครื่องออกกำลังกายเพื่อวัตถุประสงค์ในการบำบัดรักษา
"Output: เครื่องดูดตะกอนชนิดอัลตราซาวนด์สำหรับการแยกชิ้นเนื้ออ่อน
", เครื่องดูดตะกอนชนิดอัลตราซาวนด์สำหรับการแยกชิ้นเนื้ออ่อน
Output: ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดกล้ามเนื้อ, ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดกล้ามเนื้อ
Output: ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดหู, ภาชนะกระจายความร้อนเพื่อบรรเทาอาการปวดหู
Output: โคมไฟความร้อนสำหรับการแพทย์, โคมไฟความร้อนสำหรับการแพทย์
Output: อุปกรณ์ออกกำลังกายแบบขยาย สำหรับการบำบัดทางการแพทย์, อุปกรณ์ออกกำลังกายแบบขยาย สำหรับการบำบัดทางการแพทย์
Output: อุปกรณ์ออกกำลังกายเพื่อวัตถุประสงค์ในการฟื้นฟูสมรรถภาพทางการแพทย์, อุปกรณ์ออกกำลังกายเพื่อวัตถุประสงค์ในการฟื้นฟูสมรรถภาพทางการแพทย์
"Output: อุปกรณ์บริหารมือเพื่อการบำบัดรักษา
", อุปกรณ์บริหารมือเพื่อการบำบัดรักษา
Output: หมอนอุ่น [แผ่นรอง] แบบไม่ใช้พลังงาน สำหรับการแพทย์, หมอนอุ่น [แผ่นรอง] แบบไม่ใช้พลังงาน สำหรับการแพทย์
Output: หมอนอุ่นไฟฟ้า สำหรับการแพทย์, หมอนอุ่นไฟฟ้า สำหรับการแพทย์
Output: หน่วยแผ่รังสีอินฟราเรดเพื่อวัตถุประสงค์ในการบำบัดรักษา, หน่วยแผ่รังสีอินฟราเรดเพื่อวัตถุประสงค์ในการบำบัดรักษา
"Output: เครื่องออกกำลังกายแบบสายพาน สำหรับการใช้ในการบำบัดทางกายภาพ
", เครื่องออกกำลังกายแบบสายพาน สำหรับการใช้ในการบำบัดทางกายภาพ
Output: เครื่องมือแพทย์เพื่อเสริมสร้างกล้ามเนื้ออุ้งเชิงกราน, เครื่องมือแพทย์เพื่อเสริมสร้างกล้ามเนื้ออุ้งเชิงกราน
Output: อุปกรณ์ออกกำลังกายเพื่อการฝึกฝนร่างกาย [เพื่อวัตถุประสงค์ทางการแพทย์], อุปกรณ์ออกกำลังกายเพื่อการฝึกฝนร่างกาย [เพื่อวัตถุประสงค์ทางการแพทย์]
"Output: หลอดไฟอาร์คปรอทเพื่อวัตถุประสงค์ในการรักษา
", หลอดไฟอาร์คปรอทเพื่อวัตถุประสงค์ในการรักษา
"Output: อุปกรณ์กระตุ้นด้วยไฟฟ้าสำหรับการใช้ในการรักษาทางบำบัด
", อุปกรณ์กระตุ้นด้วยไฟฟ้าสำหรับการใช้ในการรักษาทางบำบัด
Output: เครื่องฝึกความแข็งแรงด้วยการพายเรือ [สำหรับการใช้งานทางการแพทย์], เครื่องฝึกความแข็งแรงด้วยการพายเรือ [สำหรับการใช้งานทางการแพทย์]
"Output: เครื่องยกขาสำหรับการใช้ในกายภาพบำบัด
", เครื่องยกขาสำหรับการใช้ในกายภาพบำบัด
"Output: เครื่องกระตุ้นไฟฟ้าเพื่อการลดน้ำหนัก
", เครื่องกระตุ้นไฟฟ้าเพื่อการลดน้ำหนัก
Output: อุปกรณ์ช่วยในการหายใจเพื่อป้องกันอาการนอนกรนทางการแพทย์, อุปกรณ์ช่วยในการหายใจเพื่อป้องกันอาการนอนกรนทางการแพทย์
Output: คลิปหนีบจมูกเพื่อการรักษา ป้องกันอาการนอนกรน, คลิปหนีบจมูกเพื่อการรักษา ป้องกันอาการนอนกรน
Output: อุปกรณ์บำบัดรักษาสำหรับเด็กออทิสติก, อุปกรณ์บำบัดรักษาสำหรับเด็กออทิสติก
Output: อุปกรณ์จำลองการออกกำลังกายเพื่อวัตถุประสงค์ทางการแพทย์, อุปกรณ์จำลองการออกกำลังกายเพื่อวัตถุประสงค์ทางการแพทย์
Output: อิเล็กโทรดการกระตุ้นเส้นประสาทด้วยไฟฟ้าข้ามผิวหนัง, อิเล็กโทรดการกระตุ้นเส้นประสาทด้วยไฟฟ้าข้ามผิวหนัง
Output: อุปกรณ์สำหรับการบำบัดกระตุ้นการทำงานของร่างกาย, อุปกรณ์สำหรับการบำบัดกระตุ้นการทำงานของร่างกาย
"Output: อุปกรณ์ล้างเพื่อวัตถุประสงค์ในการรักษา
", อุปกรณ์ล้างเพื่อวัตถุประสงค์ในการรักษา
Output: อุปกรณ์สำหรับการออกกำลังกายกล้ามเนื้อเพื่อการแพทย์, อุปกรณ์สำหรับการออกกำลังกายกล้ามเนื้อเพื่อการแพทย์
